timestep,charge_level,psiL_am,psiT_am,ampL_am,ampT_am,freq_rHz
330,0.253295,0.581775,0.000000,0.472033,0.511982,0.006130
331,0.253295,0.512574,-0.000000,0.472645,0.510700,0.006130
332,0.253295,0.436224,-0.000000,0.472853,0.509422,0.006130
333,0.253295,0.335862,0.000001,0.472677,0.508147,0.006130
334,0.253295,0.171071,0.000000,0.472092,0.506875,0.006130
335,0.253295,-0.067331,0.000000,0.471066,0.505606,0.006130
336,0.253295,-0.335535,-0.000000,0.469911,0.504341,0.006130
337,0.253295,-0.569719,0.000001,0.469334,0.503078,0.006130
338,0.253295,-0.734232,0.000000,0.469890,0.501819,0.006130
339,0.253295,-0.833804,-0.000000,0.471580,0.500563,0.006130
340,0.253295,-0.881772,0.000000,0.474080,0.499310,0.006130
341,0.253295,-0.865272,0.000001,0.476986,0.498060,0.006130
342,0.253295,-0.751034,-0.000000,0.479710,0.496813,0.006130
343,0.253295,-0.527798,0.000000,0.481447,0.495570,0.006130
344,0.253295,-0.236569,-0.000000,0.481690,0.494329,0.006130
345,0.253295,0.050811,-0.000001,0.480775,0.493092,0.006130
346,0.253295,0.286251,0.000000,0.479585,0.491858,0.006369
347,0.253295,0.474410,0.000000,0.478813,0.490626,0.006369
348,0.253295,0.643167,0.000000,0.478791,0.489398,0.006369
349,0.253295,0.788420,-0.000000,0.479753,0.488173,0.006369
350,0.253295,0.858578,-0.000001,0.481789,0.486951,0.006369
351,0.253295,0.800285,0.000000,0.484402,0.485732,0.006369
352,0.253295,0.618593,0.000000,0.486492,0.484516,0.006369
353,0.253295,0.386259,0.000001,0.487242,0.483304,0.006369
354,0.253295,0.186431,-0.000001,0.486789,0.482094,0.006369
355,0.253295,0.046930,-0.000001,0.485749,0.480887,0.006369
356,0.253295,-0.068550,0.000001,0.484545,0.479683,0.006369
357,0.253295,-0.204756,0.000001,0.483356,0.478483,0.006369
358,0.253295,-0.355219,-0.000001,0.482364,0.477285,0.006369
359,0.253295,-0.465617,-0.000001,0.481811,0.476090,0.006369
360,0.378053,-0.493613,0.000001,0.481732,0.474899,0.006369
361,0.378053,-0.456398,0.000000,0.481792,0.473710,0.006369
362,0.378053,-0.414398,-0.000001,0.481668,0.472524,0.006369
363,0.378053,-0.408837,-0.000000,0.481355,0.471341,0.006369
364,0.378053,-0.421685,-0.000001,0.481020,0.470162,0.006369
365,0.378053,-0.399172,-0.000002,0.480741,0.468985,0.006369
366,0.378053,-0.307114,-0.000003,0.480368,0.467811,0.006369
367,0.378053,-0.158124,-0.000004,0.479657,0.466640,0.006369
368,0.378053,0.014175,-0.000006,0.478587,0.465472,0.006369
369,0.378053,0.198710,-0.000010,0.477390,0.464307,0.006525
370,0.378053,0.411696,-0.000015,0.476403,0.463144,0.006525
371,0.378053,0.656969,-0.000022,0.476101,0.461985,0.006525
372,0.378053,0.892947,-0.000033,0.477176,0.460829,0.006525
373,0.378053,1.047815,-0.000048,0.480151,0.459675,0.006525
374,0.378053,1.070267,-0.000071,0.484646,0.458524,0.006525
375,0.378053,0.961643,-0.000105,0.489321,0.457377,0.006525
376,0.378053,0.756575,-0.000153,0.492810,0.456232,0.006525
377,0.378053,0.481399,-0.000220,0.494479,0.455090,0.006525
378,0.378053,0.141841,-0.000315,0.494414,0.453951,0.006525
379,0.378053,-0.249377,-0.000449,0.493279,0.452814,0.006525
380,0.378053,-0.642335,-0.000633,0.492360,0.451681,0.006525
381,0.378053,-0.961454,-0.000890,0.493223,0.450550,0.006525
382,0.378053,-1.155263,-0.001242,0.496664,0.449422,0.006525
383,0.378053,-1.230201,-0.001721,0.502110,0.448298,0.006525
384,0.378053,-1.227809,-0.002371,0.508351,0.447175,0.006525
385,0.378053,-1.171709,-0.003240,0.514457,0.446056,0.006525
386,0.378053,-1.043992,-0.004399,0.519815,0.444940,0.006525
387,0.378053,-0.816926,-0.005933,0.523742,0.443826,0.006525
388,0.378053,-0.502590,-0.007945,0.525615,0.442715,0.006525
389,0.378053,-0.160338,-0.010564,0.525503,0.441608,0.006525
390,0.378053,0.150112,-0.013948,0.524310,0.440503,0.006525
391,0.378053,0.417341,-0.018286,0.523105,0.439401,0.006695
392,0.378053,0.673283,-0.023801,0.522630,0.438303,0.006695
393,0.378053,0.939872,-0.030757,0.523491,0.437209,0.006695
394,0.378053,1.186537,-0.039456,0.526393,0.436120,0.006695
395,0.378053,1.347766,-0.050244,0.531736,0.435038,0.006695
396,0.378053,1.381605,-0.063506,0.538899,0.433963,0.006695
397,0.378053,1.299789,-0.079670,0.546355,0.432900,0.006695
398,0.378053,1.135711,-0.099187,0.552683,0.431853,0.006695
399,0.378053,0.891668,-0.122538,0.557118,0.430830,0.006695
400,0.378053,0.531226,-0.150212,0.559289,0.429838,0.006695
